"","Bracket","Picks","Round","Game"
"340","Kristen's Big Dick Bracket","Duke",32,"G25"
"341","Kristen's Big Dick Bracket","S. Diego St.",32,"G26"
"342","Kristen's Big Dick Bracket","S.F. Austin",32,"G27"
"343","Kristen's Big Dick Bracket","Georgetown",32,"G28"
"344","Kristen's Big Dick Bracket","UCLA",32,"G29"
"345","Kristen's Big Dick Bracket","Iowa St.",32,"G30"
"346","Kristen's Big Dick Bracket","Iowa",32,"G31"
"347","Kristen's Big Dick Bracket","Gonzaga",32,"G32"
"348","Kristen's Big Dick Bracket","Kentucky",16,"G33"
"349","Kristen's Big Dick Bracket","Maryland",16,"G34"
"350","Kristen's Big Dick Bracket","Texas",16,"G35"
"351","Kristen's Big Dick Bracket","Wichita St.",16,"G36"
"352","Kristen's Big Dick Bracket","Wisconsin",16,"G37"
"353","Kristen's Big Dick Bracket","N. Carolina",16,"G38"
"354","Kristen's Big Dick Bracket","Baylor",16,"G39"
"355","Kristen's Big Dick Bracket","Arizona",16,"G40"
"356","Kristen's Big Dick Bracket","Villanova",16,"G41"
"357","Kristen's Big Dick Bracket","Louisville",16,"G42"
"358","Kristen's Big Dick Bracket","Oklahoma",16,"G43"
"359","Kristen's Big Dick Bracket","Michigan St.",16,"G44"
"360","Kristen's Big Dick Bracket","Duke",16,"G45"
"361","Kristen's Big Dick Bracket","S.F. Austin",16,"G46"
"362","Kristen's Big Dick Bracket","Iowa St.",16,"G47"
"363","Kristen's Big Dick Bracket","Gonzaga",16,"G48"
"364","Kristen's Big Dick Bracket","Kentucky",8,"G49"
"365","Kristen's Big Dick Bracket","Wichita St.",8,"G50"
"366","Kristen's Big Dick Bracket","Wisconsin",8,"G51"
"367","Kristen's Big Dick Bracket","Arizona",8,"G52"
"368","Kristen's Big Dick Bracket","Louisville",8,"G53"
"369","Kristen's Big Dick Bracket","Michigan St.",8,"G54"
"370","Kristen's Big Dick Bracket","S.F. Austin",8,"G55"
"371","Kristen's Big Dick Bracket","Gonzaga",8,"G56"
"372","Kristen's Big Dick Bracket","Kentucky",4,"G57"
"373","Kristen's Big Dick Bracket","Wisconsin",4,"G58"
"374","Kristen's Big Dick Bracket","Michigan St.",4,"G59"
"375","Kristen's Big Dick Bracket","Gonzaga",4,"G60"
"376","Kristen's Big Dick Bracket","Kentucky",2,"G61"
"377","Kristen's Big Dick Bracket","Michigan St.",2,"G62"
"378","Kristen's Big Dick Bracket","Kentucky",1,"G63"
"379","YAS KWEEN","Kentucky",32,"G1"
"380","YAS KWEEN","Purdue",32,"G2"
"381","YAS KWEEN","West Virginia",32,"G3"
"382","YAS KWEEN","Maryland",32,"G4"
"383","YAS KWEEN","Butler",32,"G5"
"384","YAS KWEEN","Notre Dame",32,"G6"
"385","YAS KWEEN","Indiana",32,"G7"
"386","YAS KWEEN","Kansas",32,"G8"
"387","YAS KWEEN","Wisconsin",32,"G9"
"388","YAS KWEEN","Oregon",32,"G10"
"389","YAS KWEEN","Arkansas",32,"G11"
"390","YAS KWEEN","N. Carolina",32,"G12"
"391","YAS KWEEN","Xavier",32,"G13"
"392","YAS KWEEN","Baylor",32,"G14"
"393","YAS KWEEN","VCU",32,"G15"
"394","YAS KWEEN","Arizona",32,"G16"
"395","YAS KWEEN","Villanova",32,"G17"
"396","YAS KWEEN","N.C. State",32,"G18"
"397","YAS KWEEN","Northern Iowa",32,"G19"
"398","YAS KWEEN","Louisville",32,"G20"
"399","YAS KWEEN","Providence",32,"G21"
"400","YAS KWEEN","Oklahoma",32,"G22"
"401","YAS KWEEN","Michigan St.",32,"G23"
"402","YAS KWEEN","Virginia",32,"G24"
"403","YAS KWEEN","Duke",32,"G25"
"404","YAS KWEEN","S. Diego St.",32,"G26"
"405","YAS KWEEN","Utah",32,"G27"
"406","YAS KWEEN","Georgetown",32,"G28"
"407","YAS KWEEN","SMU",32,"G29"
"408","YAS KWEEN","Iowa St.",32,"G30"
"409","YAS KWEEN","Iowa",32,"G31"
"410","YAS KWEEN","Gonzaga",32,"G32"
"411","YAS KWEEN","Kentucky",16,"G33"
"412","YAS KWEEN","Maryland",16,"G34"
"413","YAS KWEEN","Butler",16,"G35"
"414","YAS KWEEN","Kansas",16,"G36"
"415","YAS KWEEN","Wisconsin",16,"G37"
"416","YAS KWEEN","N. Carolina",16,"G38"
"417","YAS KWEEN","Baylor",16,"G39"
"418","YAS KWEEN","Arizona",16,"G40"
"419","YAS KWEEN","Villanova",16,"G41"
"420","YAS KWEEN","Louisville",16,"G42"
"421","YAS KWEEN","Oklahoma",16,"G43"
"422","YAS KWEEN","Virginia",16,"G44"
"423","YAS KWEEN","Duke",16,"G45"
"424","YAS KWEEN","Utah",16,"G46"
"425","YAS KWEEN","Iowa St.",16,"G47"
"426","YAS KWEEN","Gonzaga",16,"G48"
"427","YAS KWEEN","Kentucky",8,"G49"
"428","YAS KWEEN","Kansas",8,"G50"
"429","YAS KWEEN","Wisconsin",8,"G51"
"430","YAS KWEEN","Arizona",8,"G52"
"431","YAS KWEEN","Villanova",8,"G53"
"432","YAS KWEEN","Virginia",8,"G54"
"433","YAS KWEEN","Duke",8,"G55"
"434","YAS KWEEN","Gonzaga",8,"G56"
"435","YAS KWEEN","Kentucky",4,"G57"
"436","YAS KWEEN","Wisconsin",4,"G58"
"437","YAS KWEEN","Virginia",4,"G59"
"438","YAS KWEEN","Gonzaga",4,"G60"
"439","YAS KWEEN","Wisconsin",2,"G61"
"440","YAS KWEEN","Gonzaga",2,"G62"
"441","YAS KWEEN","Wisconsin",1,"G63"
"442","GQ's Groovy Bracket","Kentucky",32,"G1"
"443","GQ's Groovy Bracket","Purdue",32,"G2"
"444","GQ's Groovy Bracket","West Virginia",32,"G3"
"445","GQ's Groovy Bracket","Maryland",32,"G4"
"446","GQ's Groovy Bracket","Butler",32,"G5"
"447","GQ's Groovy Bracket","Notre Dame",32,"G6"
"448","GQ's Groovy Bracket","Wichita St.",32,"G7"
"449","GQ's Groovy Bracket","Kansas",32,"G8"
"450","GQ's Groovy Bracket","Wisconsin",32,"G9"
"451","GQ's Groovy Bracket","Oregon",32,"G10"
"452","GQ's Groovy Bracket","Arkansas",32,"G11"
"453","GQ's Groovy Bracket","N. Carolina",32,"G12"
"454","GQ's Groovy Bracket","Mississippi",32,"G13"
"455","GQ's Groovy Bracket","Baylor",32,"G14"
"456","GQ's Groovy Bracket","Ohio St.",32,"G15"
"457","GQ's Groovy Bracket","Arizona",32,"G16"
"458","GQ's Groovy Bracket","Villanova",32,"G17"
"459","GQ's Groovy Bracket","N.C. State",32,"G18"
"460","GQ's Groovy Bracket","Northern Iowa",32,"G19"
"461","GQ's Groovy Bracket","Louisville",32,"G20"
"462","GQ's Groovy Bracket","Providence",32,"G21"
"463","GQ's Groovy Bracket","Oklahoma",32,"G22"
"464","GQ's Groovy Bracket","Michigan St.",32,"G23"
"465","GQ's Groovy Bracket","Virginia",32,"G24"
"466","GQ's Groovy Bracket","Duke",32,"G25"
"467","GQ's Groovy Bracket","S. Diego St.",32,"G26"
"468","GQ's Groovy Bracket","S.F. Austin",32,"G27"
"469","GQ's Groovy Bracket","Georgetown",32,"G28"
"470","GQ's Groovy Bracket","SMU",32,"G29"
"471","GQ's Groovy Bracket","Iowa St.",32,"G30"
"472","GQ's Groovy Bracket","Davidson",32,"G31"
"473","GQ's Groovy Bracket","Gonzaga",32,"G32"
"474","GQ's Groovy Bracket","Kentucky",16,"G33"
"475","GQ's Groovy Bracket","Maryland",16,"G34"
"476","GQ's Groovy Bracket","Notre Dame",16,"G35"
"477","GQ's Groovy Bracket","Kansas",16,"G36"
"478","GQ's Groovy Bracket","Wisconsin",16,"G37"
"479","GQ's Groovy Bracket","N. Carolina",16,"G38"
"480","GQ's Groovy Bracket","Baylor",16,"G39"
"481","GQ's Groovy Bracket","Arizona",16,"G40"
"482","GQ's Groovy Bracket","Villanova",16,"G41"
"483","GQ's Groovy Bracket","Louisville",16,"G42"
"484","GQ's Groovy Bracket","Oklahoma",16,"G43"
